vaccine_cost,gdp,BothHigh,LowSensitivity,LowSpecificity
0,31364.603448275862,-7993.65655869608,-6328.247454819017,-7908.917539454209
5,31364.603448275862,-6039.117190550328,-4303.894268649555,-5067.339204080458
10,31364.603448275862,-4084.577822404574,-2279.541082480095,-2225.760868706707
15,31364.603448275862,-2130.038454258822,-255.18789631063575,615.8174666670416
20,31364.603448275862,-175.4990861130703,1769.165289858826,3457.395802040795
25,31364.603448275862,1779.0402820326817,3793.5184760282878,6298.974137414549
30,31364.603448275862,3733.5796501784334,5817.871662197747,9140.552472788295
35,31364.603448275862,5688.119018324185,7842.2248483672065,11982.130808162046
40,31364.603448275862,7642.658386469941,9866.578034536666,14823.709143535796
45,31364.603448275862,9597.197754615694,11890.93122070613,17665.28747890955
50,31364.603448275862,11551.737122761446,13915.28440687559,20506.865814283297
55,31364.603448275862,13506.276490907198,15939.637593045049,23348.444149657058
60,31364.603448275862,15460.81585905295,17963.990779214513,26190.022485030804
65,31364.603448275862,17415.355227198703,19988.343965383967,29031.60082040455
70,31364.603448275862,19369.894595344456,22012.697151553435,31873.179155778304
75,31364.603448275862,21324.433963490206,24037.05033772289,34714.75749115205
80,31364.603448275862,23278.97333163596,26061.403523892353,37556.33582652581
85,31364.603448275862,25233.51269978171,28085.756710061818,40397.914161899556
90,31364.603448275862,27188.052067927463,30110.10989623127,43239.492497273306
95,31364.603448275862,29142.591436073213,32134.463082400736,46081.070832647056
100,31364.603448275862,31097.130804218967,34158.816268570205,48922.64916802081
105,31364.603448275862,33051.67017236472,36183.169454739655,51764.227503394555
110,31364.603448275862,35006.20954051047,38207.52264090911,54605.80583876831
115,31364.603448275862,36960.74890865622,40231.87582707858,57447.38417414206
120,31364.603448275862,38915.28827680198,42256.22901324804,60288.962509515804
125,31364.603448275862,40869.82764494773,44280.58219941749,63130.54084488956
130,31364.603448275862,42824.36701309348,46304.935385586956,65972.11918026331
135,31364.603448275862,44778.90638123923,48329.28857175641,68813.69751563706
140,31364.603448275862,46733.445749384984,50353.64175792588,71655.27585101081
145,31364.603448275862,48687.985117530734,52377.99494409533,74496.85418638457
150,31364.603448275862,50642.524485676484,54402.34813026479,77338.43252175831
155,31364.603448275862,52597.06385382224,56426.70131643426,80180.01085713206
160,31364.603448275862,54551.603221968,58451.05450260372,83021.58919250582
165,31364.603448275862,56506.142590113755,60475.407688773186,85863.16752787957
170,31364.603448275862,58460.6819582595,62499.76087494264,88704.74586325331
175,31364.603448275862,60415.22132640526,64524.11406111211,91546.32419862707
180,31364.603448275862,62369.760694551005,66548.46724728156,94387.90253400082
185,31364.603448275862,64324.30006269675,68572.82043345102,97229.48086937456
190,31364.603448275862,66278.8394308425,70597.17361962049,100071.05920474832
195,31364.603448275862,68233.37879898825,72621.52680578995,102912.63754012206
200,31364.603448275862,70187.91816713402,74645.87999195942,105754.21587549584
205,31364.603448275862,72142.45753527975,76670.23317812885,108595.79421086957
210,31364.603448275862,74096.9969034255,78694.58636429833,111437.37254624332
215,31364.603448275862,76051.53627157127,80718.9395504678,114278.95088161709
220,31364.603448275862,78006.07563971702,82743.29273663723,117120.52921699084
225,31364.603448275862,79960.61500786277,84767.64592280671,119962.10755236458
230,31364.603448275862,81915.15437600852,86791.99910897616,122803.68588773832
235,31364.603448275862,83869.69374415428,88816.35229514564,125645.26422311208
240,31364.603448275862,85824.23311230002,90840.70548131509,128486.84255848582
245,31364.603448275862,87778.77248044578,92865.05866748455,131328.42089385958
250,31364.603448275862,89733.31184859152,94889.411853654,134169.99922923333
255,31364.603448275862,91687.85121673728,96913.76503982348,137011.57756460708
260,31364.603448275862,93642.39058488303,98938.11822599293,139853.15589998083
265,31364.603448275862,95596.92995302878,100962.47141216238,142694.7342353546
270,31364.603448275862,97551.46932117453,102986.82459833183,145536.31257072833
275,31364.603448275862,99506.0086893203,105011.17778450131,148377.89090610208
280,31364.603448275862,101460.54805746603,107035.53097067076,151219.46924147583
285,31364.603448275862,103415.0874256118,109059.88415684024,154061.04757684958
290,31364.603448275862,105369.62679375753,111084.23734300968,156902.62591222333
295,31364.603448275862,107324.1661619033,113108.59052917916,159744.20424759708
300,31364.603448275862,109278.70553004905,115132.9437153486,162585.78258297083
